Mean Loss & Perplexity(with dropout 500 steps per Epoch)
Epoch  Mean Loss    Mean Perplexity 
0      6.7066       2804.7271       
1      5.3482       215.0471        
2      4.7741       119.2998        
3      4.4683       87.4712         
4      4.3069       74.3536         
5      4.1918       66.2077         
6      4.1272       62.0522         
7      4.0593       57.9716         
8      4.0231       55.9124         
9      3.9711       53.0968         
10     3.9395       51.4180         
11     3.9077       49.8279         
12     3.8887       48.8848         
13     3.8555       47.2864         
14     3.8370       46.4187         
15     3.8248       45.8564         
16     3.7996       44.7069         
17     3.7861       44.1233         
18     3.7640       43.1487         
19     3.7535       42.7017         
20     3.7433       42.2712         
21     3.7217       41.3568         
22     3.7075       40.7814         
23     3.7021       40.5721         
24     3.6950       40.2821         
25     3.6814       39.7302         
26     3.6725       39.3683         
27     3.6735       39.4213         
28     3.6511       38.5459         
29     3.6572       38.7840         
30     3.6341       37.9006         
31     3.6303       37.7563         
32     3.6251       37.5488         
33     3.6193       37.3421         
34     3.6122       37.0835         
35     3.6047       36.7990         
36     3.6047       36.7880         
37     3.5855       36.0996         
38     3.5714       35.5899         
39     3.5859       36.1097         
40     3.5756       35.7436         
41     3.5704       35.5640         
42     3.5674       35.4520         
43     3.5573       35.0917         
44     3.5573       35.1036         
45     3.5524       34.9300         
46     3.5427       34.5904         
47     3.5400       34.4922         
48     3.5424       34.5759         
49     3.5286       34.0985         
50     3.5242       33.9488         
51     3.5255       33.9952         
52     3.5120       33.5465         
53     3.5123       33.5454         
54     3.5047       33.2991         
55     3.5049       33.3076         
56     3.5090       33.4401         
57     3.4998       33.1263         
58     3.4971       33.0417         
59     3.4995       33.1248         
60     3.4892       32.7801         
61     3.4807       32.4943         
62     3.4891       32.7785         
63     3.4642       31.9790         
64     3.4781       32.4224         
65     3.4794       32.4623         
66     3.4763       32.3611         
67     3.4654       32.0148         
68     3.4636       31.9569         
69     3.4589       31.7968         
70     3.4526       31.6058         
71     3.4548       31.6756         
72     3.4432       31.3074         
73     3.4420       31.2661         
74     3.4349       31.0489         
75     3.4490       31.4905         
76     3.4399       31.2076         
77     3.4315       30.9433         
78     3.4353       31.0598         
79     3.4389       31.1786         
80     3.4330       30.9932         
81     3.4230       30.6732         
82     3.4312       30.9315         
83     3.4229       30.6811         
84     3.4220       30.6462         
85     3.4325       30.9773         
86     3.4240       30.7063         
87     3.4269       30.8057         
88     3.4091       30.2638         
89     3.4281       30.8401         
90     3.4253       30.7601 


Mean Loss & Perplexity without Dropout (200 steps per epoch )
Epoch  Mean Loss    Mean Perplexity 
0     3.3240       27.7873         
1     3.3338       28.0655         
2     3.3229       27.7527         
3     3.3307       27.9779         
4     3.3256       27.8312         
5     3.3219       27.7315         
6     3.3274       27.8843         
7     3.3250       27.8184         
8     3.3265       27.8644         
9     3.3299       27.9574         
0     3.3251       27.8280         
1     3.3329       28.0436         
2     3.3241       27.7920         
3     3.3275       27.8853         
4     3.3334       28.0522         
5     3.3317       28.0129         
6     3.3172       27.6040         
7     3.3201       27.6889         
8     3.3309       27.9854         
9     3.3260       27.8444 
