Found tokenised file
Loaded tokenised file
Total trainable parameters: 205,629,440
Training:
Batch 0 | Loss: 11.3392 | Perplexity: 84050.1986
Batch 10 | Loss: 9.1075 | Perplexity: 9022.4180
Batch 20 | Loss: 8.7691 | Perplexity: 6432.1856
Batch 30 | Loss: 8.4690 | Perplexity: 4764.8840
Batch 40 | Loss: 8.0832 | Perplexity: 3239.7022
Batch 50 | Loss: 7.8278 | Perplexity: 2509.3052
Batch 60 | Loss: 7.6660 | Perplexity: 2134.4476
Batch 70 | Loss: 7.4514 | Perplexity: 1722.3503
Batch 80 | Loss: 7.2411 | Perplexity: 1395.6733
Batch 90 | Loss: 7.2410 | Perplexity: 1395.4637
Batch 100 | Loss: 7.0612 | Perplexity: 1165.8574
Batch 110 | Loss: 6.9859 | Perplexity: 1081.2579
Batch 120 | Loss: 6.9706 | Perplexity: 1064.8393
Batch 130 | Loss: 6.9396 | Perplexity: 1032.3291
Batch 140 | Loss: 6.8485 | Perplexity: 942.5014
Batch 150 | Loss: 6.7973 | Perplexity: 895.4305
Batch 160 | Loss: 6.8328 | Perplexity: 927.7645
Batch 170 | Loss: 6.7661 | Perplexity: 867.9063
Batch 180 | Loss: 6.6179 | Perplexity: 748.3978
Batch 190 | Loss: 6.6375 | Perplexity: 763.1579
Batch 200 | Loss: 6.5214 | Perplexity: 679.5498
Batch 210 | Loss: 6.5296 | Perplexity: 685.1334
Batch 220 | Loss: 6.4067 | Perplexity: 605.9208
Batch 230 | Loss: 6.4019 | Perplexity: 602.9823
Batch 240 | Loss: 6.4126 | Perplexity: 609.4929
Batch 250 | Loss: 6.4133 | Perplexity: 609.9199
Batch 260 | Loss: 6.4007 | Perplexity: 602.2407
Batch 270 | Loss: 6.3495 | Perplexity: 572.2107
Batch 280 | Loss: 6.3078 | Perplexity: 548.8335
Batch 290 | Loss: 6.2771 | Perplexity: 532.2656
Batch 300 | Loss: 6.2031 | Perplexity: 494.2955
Batch 310 | Loss: 6.2977 | Perplexity: 543.3076
Batch 320 | Loss: 6.1671 | Perplexity: 476.7791
Batch 330 | Loss: 6.0860 | Perplexity: 439.6525
Batch 340 | Loss: 6.1166 | Perplexity: 453.3186
Batch 350 | Loss: 6.0978 | Perplexity: 444.8560
Batch 360 | Loss: 6.0674 | Perplexity: 431.5561
Batch 370 | Loss: 6.0641 | Perplexity: 430.1209
Batch 380 | Loss: 6.0226 | Perplexity: 412.6378
Batch 390 | Loss: 6.0548 | Perplexity: 426.1738
Batch 400 | Loss: 5.9428 | Perplexity: 380.9948
Batch 410 | Loss: 5.9430 | Perplexity: 381.0651
Batch 420 | Loss: 5.9012 | Perplexity: 365.4776
Batch 430 | Loss: 5.9706 | Perplexity: 391.7538
Batch 440 | Loss: 5.8067 | Perplexity: 332.5050
Batch 450 | Loss: 5.9026 | Perplexity: 365.9890
Batch 460 | Loss: 5.8156 | Perplexity: 335.4990
Batch 470 | Loss: 5.7365 | Perplexity: 309.9886
Batch 480 | Loss: 5.7120 | Perplexity: 302.4657
Batch 490 | Loss: 5.7472 | Perplexity: 313.2966
Epoch 0 | Loss: 5.5571 | Perplexity: 259.0824
Batch 500 | Loss: 5.7408 | Perplexity: 311.3012
Batch 510 | Loss: 5.6691 | Perplexity: 289.7632
Batch 520 | Loss: 5.7162 | Perplexity: 303.7613
Batch 530 | Loss: 5.6857 | Perplexity: 294.6160
Batch 540 | Loss: 5.6815 | Perplexity: 293.3853
Batch 550 | Loss: 5.6846 | Perplexity: 294.3043
Batch 560 | Loss: 5.5351 | Perplexity: 253.4305
Batch 570 | Loss: 5.6730 | Perplexity: 290.9063
Batch 580 | Loss: 5.6199 | Perplexity: 275.8696
Batch 590 | Loss: 5.5134 | Perplexity: 248.0038
Batch 600 | Loss: 5.5404 | Perplexity: 254.7902
Batch 610 | Loss: 5.6270 | Perplexity: 277.8285
Batch 620 | Loss: 5.4865 | Perplexity: 241.4128
Batch 630 | Loss: 5.4914 | Perplexity: 242.5947
Batch 640 | Loss: 5.4498 | Perplexity: 232.7188
Batch 650 | Loss: 5.4138 | Perplexity: 224.4763
Batch 660 | Loss: 5.4226 | Perplexity: 226.4657
Batch 670 | Loss: 5.4468 | Perplexity: 232.0210
Batch 680 | Loss: 5.4431 | Perplexity: 231.1505
Batch 690 | Loss: 5.3974 | Perplexity: 220.8343
Batch 700 | Loss: 5.4378 | Perplexity: 229.9267
Batch 710 | Loss: 5.3488 | Perplexity: 210.3504
Batch 720 | Loss: 5.4300 | Perplexity: 228.1456
Batch 730 | Loss: 5.3575 | Perplexity: 212.1908
Batch 740 | Loss: 5.3637 | Perplexity: 213.5222
Batch 750 | Loss: 5.3859 | Perplexity: 218.3149
Batch 760 | Loss: 5.2930 | Perplexity: 198.9361
Batch 770 | Loss: 5.2562 | Perplexity: 191.7542
Batch 780 | Loss: 5.3344 | Perplexity: 207.3389
Batch 790 | Loss: 5.2060 | Perplexity: 182.3564
Batch 800 | Loss: 5.2242 | Perplexity: 185.7084
Batch 810 | Loss: 5.2969 | Perplexity: 199.7238
Batch 820 | Loss: 5.2526 | Perplexity: 191.0629
Batch 830 | Loss: 5.2534 | Perplexity: 191.2117
Batch 840 | Loss: 5.2359 | Perplexity: 187.8903
Batch 850 | Loss: 5.2408 | Perplexity: 188.8232
Batch 860 | Loss: 5.1669 | Perplexity: 175.3634
Batch 870 | Loss: 5.1735 | Perplexity: 176.5246
Batch 880 | Loss: 5.1189 | Perplexity: 167.1474
Batch 890 | Loss: 5.1244 | Perplexity: 168.0776
Batch 900 | Loss: 5.1036 | Perplexity: 164.6065
Batch 910 | Loss: 5.0687 | Perplexity: 158.9638
Batch 920 | Loss: 5.0824 | Perplexity: 161.1644
Batch 930 | Loss: 5.1332 | Perplexity: 169.5639
Batch 940 | Loss: 5.0469 | Perplexity: 155.5450
Batch 950 | Loss: 5.0282 | Perplexity: 152.6624
Batch 960 | Loss: 5.1071 | Perplexity: 165.1974
Batch 970 | Loss: 5.0435 | Perplexity: 155.0168
Batch 980 | Loss: 5.0556 | Perplexity: 156.8973
Batch 990 | Loss: 5.0021 | Perplexity: 148.7320
Epoch 1 | Loss: 4.9297 | Perplexity: 138.3369
Batch 1000 | Loss: 4.9791 | Perplexity: 145.3383
Batch 1010 | Loss: 5.0008 | Perplexity: 148.5299
Batch 1020 | Loss: 4.9383 | Perplexity: 139.5300
Batch 1030 | Loss: 4.9492 | Perplexity: 141.0585
Batch 1040 | Loss: 5.0431 | Perplexity: 154.9427
Batch 1050 | Loss: 4.9233 | Perplexity: 137.4600
Batch 1060 | Loss: 4.8947 | Perplexity: 133.5812
Batch 1070 | Loss: 4.9406 | Perplexity: 139.8553
Batch 1080 | Loss: 4.8680 | Perplexity: 130.0558
Batch 1090 | Loss: 4.8652 | Perplexity: 129.7006
Batch 1100 | Loss: 4.9405 | Perplexity: 139.8349
Batch 1110 | Loss: 4.9069 | Perplexity: 135.2209
Batch 1120 | Loss: 4.8668 | Perplexity: 129.9100
Batch 1130 | Loss: 4.7954 | Perplexity: 120.9522
Batch 1140 | Loss: 4.8532 | Perplexity: 128.1437
Batch 1150 | Loss: 4.7635 | Perplexity: 117.1557
Batch 1160 | Loss: 4.8336 | Perplexity: 125.6647
Batch 1170 | Loss: 4.8176 | Perplexity: 123.6712
Batch 1180 | Loss: 4.8948 | Perplexity: 133.5995
Batch 1190 | Loss: 4.7985 | Perplexity: 121.3282
Batch 1200 | Loss: 4.7702 | Perplexity: 117.9452
Batch 1210 | Loss: 4.8145 | Perplexity: 123.2897
Batch 1220 | Loss: 4.7816 | Perplexity: 119.2951
Batch 1230 | Loss: 4.8112 | Perplexity: 122.8814
Batch 1240 | Loss: 4.7930 | Perplexity: 120.6644
Batch 1250 | Loss: 4.7262 | Perplexity: 112.8666
Batch 1260 | Loss: 4.7957 | Perplexity: 120.9852
Batch 1270 | Loss: 4.7763 | Perplexity: 118.6595
Batch 1280 | Loss: 4.8067 | Perplexity: 122.3258
Batch 1290 | Loss: 4.7512 | Perplexity: 115.7236
Batch 1300 | Loss: 4.6919 | Perplexity: 109.0567
Batch 1310 | Loss: 4.7428 | Perplexity: 114.7510
Batch 1320 | Loss: 4.7368 | Perplexity: 114.0678
Batch 1330 | Loss: 4.7045 | Perplexity: 110.4415
Batch 1340 | Loss: 4.6395 | Perplexity: 103.4926
Batch 1350 | Loss: 4.6753 | Perplexity: 107.2666
Batch 1360 | Loss: 4.6475 | Perplexity: 104.3219
Batch 1370 | Loss: 4.6685 | Perplexity: 106.5338
Batch 1380 | Loss: 4.6159 | Perplexity: 101.0830
Batch 1390 | Loss: 4.6910 | Perplexity: 108.9601
Batch 1400 | Loss: 4.6706 | Perplexity: 106.7600
Batch 1410 | Loss: 4.6694 | Perplexity: 106.6384
Batch 1420 | Loss: 4.6415 | Perplexity: 103.6948
Batch 1430 | Loss: 4.6139 | Perplexity: 100.8772
Batch 1440 | Loss: 4.6161 | Perplexity: 101.0992
Batch 1450 | Loss: 4.5828 | Perplexity: 97.7885
Batch 1460 | Loss: 4.5852 | Perplexity: 98.0197
Batch 1470 | Loss: 4.6151 | Perplexity: 100.9947
Batch 1480 | Loss: 4.5775 | Perplexity: 97.2726
Batch 1490 | Loss: 4.6220 | Perplexity: 101.6995
Epoch 2 | Loss: 4.6184 | Perplexity: 101.3279
Batch 1500 | Loss: 4.5151 | Perplexity: 91.3830
Batch 1510 | Loss: 4.6087 | Perplexity: 100.3564
Batch 1520 | Loss: 4.5494 | Perplexity: 94.5772
Batch 1530 | Loss: 4.5798 | Perplexity: 97.4904
Batch 1540 | Loss: 4.6046 | Perplexity: 99.9451
Batch 1550 | Loss: 4.6177 | Perplexity: 101.2561
Batch 1560 | Loss: 4.6405 | Perplexity: 103.5945
Batch 1570 | Loss: 4.4999 | Perplexity: 90.0078
Batch 1580 | Loss: 4.5535 | Perplexity: 94.9657
Batch 1590 | Loss: 4.5102 | Perplexity: 90.9413
Batch 1600 | Loss: 4.5856 | Perplexity: 98.0576
Batch 1610 | Loss: 4.5683 | Perplexity: 96.3757
Batch 1620 | Loss: 4.5210 | Perplexity: 91.9290
Batch 1630 | Loss: 4.5084 | Perplexity: 90.7790
Batch 1640 | Loss: 4.5369 | Perplexity: 93.4030
Batch 1650 | Loss: 4.5223 | Perplexity: 92.0427
Batch 1660 | Loss: 4.4597 | Perplexity: 86.4600
Batch 1670 | Loss: 4.4967 | Perplexity: 89.7170
Batch 1680 | Loss: 4.4995 | Perplexity: 89.9727
Batch 1690 | Loss: 4.4848 | Perplexity: 88.6605
Batch 1700 | Loss: 4.4752 | Perplexity: 87.8103
Batch 1710 | Loss: 4.3993 | Perplexity: 81.3898
Batch 1720 | Loss: 4.4987 | Perplexity: 89.8958
Batch 1730 | Loss: 4.4590 | Perplexity: 86.3994
Batch 1740 | Loss: 4.4091 | Perplexity: 82.1925
Batch 1750 | Loss: 4.4381 | Perplexity: 84.6157
Batch 1760 | Loss: 4.5497 | Perplexity: 94.6035
Batch 1770 | Loss: 4.4488 | Perplexity: 85.5235
Batch 1780 | Loss: 4.4209 | Perplexity: 83.1745
Batch 1790 | Loss: 4.4165 | Perplexity: 82.8079
Batch 1800 | Loss: 4.4536 | Perplexity: 85.9376
Batch 1810 | Loss: 4.4343 | Perplexity: 84.2925
Batch 1820 | Loss: 4.4421 | Perplexity: 84.9526
Batch 1830 | Loss: 4.3683 | Perplexity: 78.9064
Batch 1840 | Loss: 4.4316 | Perplexity: 84.0688
Batch 1850 | Loss: 4.4155 | Perplexity: 82.7242
Batch 1860 | Loss: 4.4625 | Perplexity: 86.7014
Batch 1870 | Loss: 4.4071 | Perplexity: 82.0352
Batch 1880 | Loss: 4.4034 | Perplexity: 81.7268
Batch 1890 | Loss: 4.3599 | Perplexity: 78.2469
Batch 1900 | Loss: 4.4135 | Perplexity: 82.5549
Batch 1910 | Loss: 4.4065 | Perplexity: 81.9843
Batch 1920 | Loss: 4.3970 | Perplexity: 81.2075
Batch 1930 | Loss: 4.4651 | Perplexity: 86.9337
Batch 1940 | Loss: 4.3859 | Perplexity: 80.3109
Batch 1950 | Loss: 4.3897 | Perplexity: 80.6188
Batch 1960 | Loss: 4.3546 | Perplexity: 77.8321
Batch 1970 | Loss: 4.3315 | Perplexity: 76.0603
Batch 1980 | Loss: 4.3365 | Perplexity: 76.4423
Batch 1990 | Loss: 4.3782 | Perplexity: 79.6929
Epoch 3 | Loss: 4.3174 | Perplexity: 74.9970
Batch 2000 | Loss: 4.3518 | Perplexity: 77.6199
Batch 2010 | Loss: 4.4017 | Perplexity: 81.5904
Batch 2020 | Loss: 4.3388 | Perplexity: 76.6182
Batch 2030 | Loss: 4.4047 | Perplexity: 81.8366
Batch 2040 | Loss: 4.4096 | Perplexity: 82.2333
Batch 2050 | Loss: 4.3763 | Perplexity: 79.5464
Batch 2060 | Loss: 4.3763 | Perplexity: 79.5419
Batch 2070 | Loss: 4.3314 | Perplexity: 76.0544
Batch 2080 | Loss: 4.2995 | Perplexity: 73.6624
Batch 2090 | Loss: 4.3830 | Perplexity: 80.0764
Batch 2100 | Loss: 4.3988 | Perplexity: 81.3541
Batch 2110 | Loss: 4.3611 | Perplexity: 78.3459
Batch 2120 | Loss: 4.3521 | Perplexity: 77.6375
Batch 2130 | Loss: 4.3529 | Perplexity: 77.7053
Batch 2140 | Loss: 4.3189 | Perplexity: 75.1041
Batch 2150 | Loss: 4.3670 | Perplexity: 78.8095
Batch 2160 | Loss: 4.2582 | Perplexity: 70.6842
Batch 2170 | Loss: 4.3775 | Perplexity: 79.6370
Batch 2180 | Loss: 4.3000 | Perplexity: 73.7020
Batch 2190 | Loss: 4.3804 | Perplexity: 79.8664
Batch 2200 | Loss: 4.3929 | Perplexity: 80.8715
Batch 2210 | Loss: 4.2833 | Perplexity: 72.4766
Batch 2220 | Loss: 4.3265 | Perplexity: 75.6754
Batch 2230 | Loss: 4.3109 | Perplexity: 74.5065
Batch 2240 | Loss: 4.3206 | Perplexity: 75.2330
Batch 2250 | Loss: 4.2779 | Perplexity: 72.0921
Batch 2260 | Loss: 4.1858 | Perplexity: 65.7447
Batch 2270 | Loss: 4.3114 | Perplexity: 74.5418
Batch 2280 | Loss: 4.3189 | Perplexity: 75.1044
Batch 2290 | Loss: 4.2547 | Perplexity: 70.4357
Batch 2300 | Loss: 4.3444 | Perplexity: 77.0434
Batch 2310 | Loss: 4.2346 | Perplexity: 69.0347
Batch 2320 | Loss: 4.2868 | Perplexity: 72.7354
Batch 2330 | Loss: 4.2336 | Perplexity: 68.9669
Batch 2340 | Loss: 4.2581 | Perplexity: 70.6742
Batch 2350 | Loss: 4.2365 | Perplexity: 69.1684
Batch 2360 | Loss: 4.3665 | Perplexity: 78.7708
Batch 2370 | Loss: 4.2863 | Perplexity: 72.6960
Batch 2380 | Loss: 4.2930 | Perplexity: 73.1879
Batch 2390 | Loss: 4.2631 | Perplexity: 71.0270
Batch 2400 | Loss: 4.2370 | Perplexity: 69.2032
Batch 2410 | Loss: 4.2870 | Perplexity: 72.7491
Batch 2420 | Loss: 4.2174 | Perplexity: 67.8578
Batch 2430 | Loss: 4.2612 | Perplexity: 70.8944
Batch 2440 | Loss: 4.2831 | Perplexity: 72.4670
Batch 2450 | Loss: 4.2422 | Perplexity: 69.5628
Batch 2460 | Loss: 4.2784 | Perplexity: 72.1267
Batch 2470 | Loss: 4.1526 | Perplexity: 63.5996
Batch 2480 | Loss: 4.2402 | Perplexity: 69.4188
Batch 2490 | Loss: 4.2223 | Perplexity: 68.1892
Epoch 4 | Loss: 4.1015 | Perplexity: 60.4312
Batch 2500 | Loss: 4.2316 | Perplexity: 68.8242
Batch 2510 | Loss: 4.2504 | Perplexity: 70.1352
Batch 2520 | Loss: 4.1740 | Perplexity: 64.9728
Batch 2530 | Loss: 4.2374 | Perplexity: 69.2249
Batch 2540 | Loss: 4.1965 | Perplexity: 66.4536
Batch 2550 | Loss: 4.1992 | Perplexity: 66.6334
Batch 2560 | Loss: 4.2010 | Perplexity: 66.7502
Batch 2570 | Loss: 4.1178 | Perplexity: 61.4257
Batch 2580 | Loss: 4.2399 | Perplexity: 69.4022
Batch 2590 | Loss: 4.2282 | Perplexity: 68.5941
Batch 2600 | Loss: 4.2375 | Perplexity: 69.2357
Batch 2610 | Loss: 4.2635 | Perplexity: 71.0574
Batch 2620 | Loss: 4.2851 | Perplexity: 72.6100
Batch 2630 | Loss: 4.2763 | Perplexity: 71.9755
Batch 2640 | Loss: 4.1800 | Perplexity: 65.3669
Batch 2650 | Loss: 4.2083 | Perplexity: 67.2452
Batch 2660 | Loss: 4.2154 | Perplexity: 67.7245
Batch 2670 | Loss: 4.2116 | Perplexity: 67.4621
Batch 2680 | Loss: 4.2305 | Perplexity: 68.7527
Batch 2690 | Loss: 4.1721 | Perplexity: 64.8534
Batch 2700 | Loss: 4.1466 | Perplexity: 63.2191
Batch 2710 | Loss: 4.2287 | Perplexity: 68.6249
Batch 2720 | Loss: 4.1901 | Perplexity: 66.0299
Batch 2730 | Loss: 4.1814 | Perplexity: 65.4553
Batch 2740 | Loss: 4.2164 | Perplexity: 67.7863
Batch 2750 | Loss: 4.1730 | Perplexity: 64.9112
Batch 2760 | Loss: 4.1736 | Perplexity: 64.9476
Batch 2770 | Loss: 4.2459 | Perplexity: 69.8162
Batch 2780 | Loss: 4.1895 | Perplexity: 65.9896
Batch 2790 | Loss: 4.1933 | Perplexity: 66.2437
Batch 2800 | Loss: 4.2415 | Perplexity: 69.5146
Batch 2810 | Loss: 4.1638 | Perplexity: 64.3155
Batch 2820 | Loss: 4.1937 | Perplexity: 66.2657
Batch 2830 | Loss: 4.1181 | Perplexity: 61.4450
Batch 2840 | Loss: 4.1835 | Perplexity: 65.5928
Batch 2850 | Loss: 4.2032 | Perplexity: 66.8975
Batch 2860 | Loss: 4.1982 | Perplexity: 66.5693
Batch 2870 | Loss: 4.1990 | Perplexity: 66.6211
Batch 2880 | Loss: 4.1965 | Perplexity: 66.4526
Batch 2890 | Loss: 4.2319 | Perplexity: 68.8488
Batch 2900 | Loss: 4.1407 | Perplexity: 62.8466
Batch 2910 | Loss: 4.1375 | Perplexity: 62.6471
Batch 2920 | Loss: 4.1392 | Perplexity: 62.7496
Batch 2930 | Loss: 4.1675 | Perplexity: 64.5555
Batch 2940 | Loss: 4.1299 | Perplexity: 62.1746
Batch 2950 | Loss: 4.0788 | Perplexity: 59.0769
Batch 2960 | Loss: 4.1300 | Perplexity: 62.1755
Batch 2970 | Loss: 4.1459 | Perplexity: 63.1764
Batch 2980 | Loss: 4.1574 | Perplexity: 63.9042
